w L
717000.000 -138.834
718000.000 -138.846
719000.000 -138.858
720000.000 -138.870
721000.000 -138.882
722000.000 -138.894
723000.000 -138.906
724000.000 -138.918
725000.000 -138.930
726000.000 -138.942
727000.000 -138.954
728000.000 -138.966
729000.000 -138.978
730000.000 -138.990
731000.000 -139.002
732000.000 -139.014
733000.000 -139.026
734000.000 -139.038
735000.000 -139.049
736000.000 -139.061
737000.000 -139.073
738000.000 -139.085
739000.000 -139.097
740000.000 -139.108
741000.000 -139.120
742000.000 -139.132
743000.000 -139.143
744000.000 -139.155
745000.000 -139.167
746000.000 -139.178
747000.000 -139.190
748000.000 -139.202
749000.000 -139.213
750000.000 -139.225
751000.000 -139.237
752000.000 -139.248
753000.000 -139.260
754000.000 -139.271
755000.000 -139.283
756000.000 -139.294
757000.000 -139.306
758000.000 -139.317
759000.000 -139.329
760000.000 -139.340
761000.000 -139.351
762000.000 -139.363
763000.000 -139.374
764000.000 -139.386
765000.000 -139.397
766000.000 -139.408
767000.000 -139.420
768000.000 -139.431
769000.000 -139.442
770000.000 -139.454
771000.000 -139.465
772000.000 -139.476
773000.000 -139.487
774000.000 -139.499
775000.000 -139.510
776000.000 -139.521
777000.000 -139.532
778000.000 -139.543
779000.000 -139.554
780000.000 -139.566
781000.000 -139.577
782000.000 -139.588
783000.000 -139.599
784000.000 -139.610
785000.000 -139.621
786000.000 -139.632
787000.000 -139.643
788000.000 -139.654
789000.000 -139.665
790000.000 -139.676
791000.000 -139.687
792000.000 -139.698
793000.000 -139.709
794000.000 -139.720
795000.000 -139.731
796000.000 -139.742
797000.000 -139.753
798000.000 -139.764
799000.000 -139.775
800000.000 -139.786
801000.000 -139.796
802000.000 -139.807
803000.000 -139.818
804000.000 -139.829
805000.000 -139.840
806000.000 -139.850
807000.000 -139.861
808000.000 -139.872
809000.000 -139.883
810000.000 -139.893
811000.000 -139.904
812000.000 -139.915
813000.000 -139.926
814000.000 -139.936
815000.000 -139.947
816000.000 -139.958
817000.000 -139.968
818000.000 -139.979
819000.000 -139.989
820000.000 -140.000
821000.000 -140.011
822000.000 -140.021
823000.000 -140.032
824000.000 -140.042
825000.000 -140.053
826000.000 -140.063
827000.000 -140.074
828000.000 -140.084
829000.000 -140.095
830000.000 -140.105
831000.000 -140.116
832000.000 -140.126
833000.000 -140.137
834000.000 -140.147
835000.000 -140.157
836000.000 -140.168
837000.000 -140.178
838000.000 -140.189
839000.000 -140.199
840000.000 -140.209
841000.000 -140.220
842000.000 -140.230
843000.000 -140.240
844000.000 -140.251
845000.000 -140.261
846000.000 -140.271
847000.000 -140.281
848000.000 -140.292
849000.000 -140.302
850000.000 -140.312
851000.000 -140.322
852000.000 -140.333
853000.000 -140.343
854000.000 -140.353
855000.000 -140.363
856000.000 -140.373
857000.000 -140.383
858000.000 -140.393
859000.000 -140.404
860000.000 -140.414
861000.000 -140.424
862000.000 -140.434
863000.000 -140.444
864000.000 -140.454
865000.000 -140.464
866000.000 -140.474
867000.000 -140.484
868000.000 -140.494
869000.000 -140.504
870000.000 -140.514
871000.000 -140.524
872000.000 -140.534
873000.000 -140.544
874000.000 -140.554
875000.000 -140.564
876000.000 -140.574
877000.000 -140.584
878000.000 -140.594
879000.000 -140.604
880000.000 -140.613
881000.000 -140.623
882000.000 -140.633
883000.000 -140.643
884000.000 -140.653
885000.000 -140.663
886000.000 -140.672
887000.000 -140.682
888000.000 -140.692
889000.000 -140.702
890000.000 -140.712
891000.000 -140.721
892000.000 -140.731
893000.000 -140.741
894000.000 -140.750
895000.000 -140.760
896000.000 -140.770
897000.000 -140.780
898000.000 -140.789
899000.000 -140.799
900000.000 -140.809
901000.000 -140.818
902000.000 -140.828
903000.000 -140.837
904000.000 -140.847
905000.000 -140.857
906000.000 -140.866
907000.000 -140.876
908000.000 -140.885
909000.000 -140.895
910000.000 -140.905
911000.000 -140.914
912000.000 -140.924
913000.000 -140.933
914000.000 -140.943
915000.000 -140.952
916000.000 -140.962
917000.000 -140.971
918000.000 -140.981
919000.000 -140.990
920000.000 -140.999
921000.000 -141.009
922000.000 -141.018
923000.000 -141.028
924000.000 -141.037
925000.000 -141.047
926000.000 -141.056
927000.000 -141.065
928000.000 -141.075
929000.000 -141.084
930000.000 -141.093
931000.000 -141.103
932000.000 -141.112
933000.000 -141.121
934000.000 -141.131
935000.000 -141.140
936000.000 -141.149
937000.000 -141.159
938000.000 -141.168
939000.000 -141.177
940000.000 -141.186
941000.000 -141.196
942000.000 -141.205
943000.000 -141.214
944000.000 -141.223
945000.000 -141.232
946000.000 -141.242
947000.000 -141.251
948000.000 -141.260
949000.000 -141.269
950000.000 -141.278
951000.000 -141.287
952000.000 -141.296
953000.000 -141.306
954000.000 -141.315
955000.000 -141.324
956000.000 -141.333
957000.000 -141.342
958000.000 -141.351
959000.000 -141.360
960000.000 -141.369
961000.000 -141.378
962000.000 -141.387
963000.000 -141.396
964000.000 -141.405
965000.000 -141.414
966000.000 -141.423
967000.000 -141.432
968000.000 -141.441
969000.000 -141.450
970000.000 -141.459
971000.000 -141.468
972000.000 -141.477
973000.000 -141.486
974000.000 -141.495
975000.000 -141.504
976000.000 -141.513
977000.000 -141.522
978000.000 -141.531
979000.000 -141.539
980000.000 -141.548
981000.000 -141.557
982000.000 -141.566
983000.000 -141.575
984000.000 -141.584
985000.000 -141.592
986000.000 -141.601
987000.000 -141.610
988000.000 -141.619
989000.000 -141.628
990000.000 -141.636
991000.000 -141.645
992000.000 -141.654
993000.000 -141.663
994000.000 -141.671
995000.000 -141.680
996000.000 -141.689
997000.000 -141.698
998000.000 -141.706
999000.000 -141.715
